id,rank,title,score,genre,episodes,members,rating
23209,5027,b'Sora no Method',6.76,"['Drama', 'Fantasy', 'Slice of Life', 'School']",13,"105,977","{10: 2341, 9: 2708, 8: 5705, 7: 9162, 6: 6813, 5: 4070, 4: 1866, 3: 858, 2: 354, 1: 257}"
9906,5028,b'Sue Cat',6.76,"['Adventure', 'Music', 'Shoujo']",40,721,"{10: 38, 9: 37, 8: 36, 7: 17, 6: 14, 5: 19, 4: 18, 3: 6, 2: 6, 1: 13}"
10431,5029,"b'Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru ""LIPS Eizou""'",6.76,"['Comedy', 'Parody']",1,"27,549","{10: 994, 9: 1069, 8: 2009, 7: 3295, 6: 2748, 5: 1564, 4: 466, 3: 251, 2: 143, 1: 126}"
288,5030,b'Bakuten Shoot Beyblade',6.76,"['Action', 'Adventure', 'Comedy', 'Sports', 'Kids']",51,"108,811","{10: 4567, 9: 5211, 8: 11162, 7: 19478, 6: 14882, 5: 8804, 4: 3068, 3: 1326, 2: 601, 1: 386}"
32664,5031,b'Bananya',6.76,"['Comedy', 'Slice of Life', 'Kids']",13,"68,425","{10: 5921, 9: 1805, 8: 3640, 7: 7554, 6: 7783, 5: 5573, 4: 1665, 3: 955, 2: 599, 1: 568}"
53731,5032,"b'Big Mac to, Susume'",6.76,['Gourmet'],1,"1,568","{10: 162, 9: 33, 8: 68, 7: 169, 6: 224, 5: 141, 4: 32, 3: 10, 2: 6, 1: 10}"
3620,5033,b'Blue Seed Omake',6.76,"['Comedy', 'Parody']",14,"3,090","{10: 85, 9: 123, 8: 217, 7: 345, 6: 234, 5: 143, 4: 57, 3: 12, 2: 14, 1: 22}"
38390,5034,b'Chuubyou Gekihatsu Boy',6.76,"['Comedy', 'School']",11,"45,569","{10: 880, 9: 1089, 8: 2585, 7: 4580, 6: 3527, 5: 1956, 4: 864, 3: 424, 2: 186, 1: 135}"
2172,5035,b'Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!',6.76,"['Comedy', 'Ecchi', 'School', 'Seinen']",1,"3,354","{10: 138, 9: 119, 8: 201, 7: 441, 6: 303, 5: 165, 4: 70, 3: 21, 2: 10, 1: 20}"
43814,5036,b'Deatte 5-byou de Battle',6.76,"['Supernatural', 'Gore', 'High Stakes Game', 'Strategy Game', 'Super Power']",12,"179,601","{10: 4162, 9: 5894, 8: 15051, 7: 27014, 6: 18255, 5: 9168, 4: 3792, 3: 1693, 2: 816, 1: 549}"
11355,5002,"b'Kono Danshi, Uchuujin to Tatakaemasu.'",6.76,"['Action', 'Boys Love', 'Fantasy', 'Supernatural', 'Super Power']",1,"26,347","{10: 888, 9: 1076, 8: 1985, 7: 3075, 6: 2338, 5: 1487, 4: 535, 3: 280, 2: 153, 1: 128}"
6293,5003,b'Koukou Butouden Crows',6.76,"['Action', 'Delinquents', 'School', 'Shounen']",2,"4,645","{10: 148, 9: 139, 8: 363, 7: 537, 6: 334, 5: 239, 4: 87, 3: 32, 2: 16, 1: 17}"
1032,5004,b'Kumo no You ni Kaze no You ni',6.76,"['Adventure', 'Drama', 'Romance', 'Historical']",1,"7,761","{10: 144, 9: 250, 8: 584, 7: 1007, 6: 734, 5: 331, 4: 138, 3: 38, 2: 20, 1: 21}"
4073,5005,b'Kyouryuu Daisensou Izenborg',6.76,"['Action', 'Mecha']",39,"1,269","{10: 62, 9: 57, 8: 58, 7: 74, 6: 69, 5: 54, 4: 29, 3: 14, 2: 10, 1: 17}"
149,5006,b'Loveless',6.76,"['Action', 'Boys Love', 'Drama', 'Mystery', 'Supernatural', 'Josei']",12,"137,512","{10: 6124, 9: 7301, 8: 11194, 7: 15337, 6: 11983, 5: 7894, 4: 4446, 3: 2086, 2: 1390, 1: 1388}"
1431,5007,"b""Lupin III: Ai no Da Capo - Fujiko's Unlucky Days""",6.76,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Adult Cast', 'Seinen']",1,"7,084","{10: 165, 9: 185, 8: 504, 7: 879, 6: 570, 5: 300, 4: 113, 3: 48, 2: 19, 1: 18}"
15783,5008,b'Lupin III: Touhou Kenbunroku - Another Page',6.76,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Adult Cast', 'Seinen']",1,"4,984","{10: 97, 9: 95, 8: 343, 7: 595, 6: 364, 5: 187, 4: 56, 3: 24, 2: 11, 1: 18}"
1018,5009,b'Majutsushi Orphen: Revenge',6.76,"['Adventure', 'Comedy', 'Fantasy']",23,"17,862","{10: 366, 9: 544, 8: 1279, 7: 2092, 6: 1395, 5: 737, 4: 349, 3: 150, 2: 76, 1: 52}"
43755,5010,b'Misaki no Mayoiga',6.76,"['Award Winning', 'Drama']",1,"11,745","{10: 75, 9: 82, 8: 263, 7: 469, 6: 333, 5: 138, 4: 39, 3: 11, 2: 3, 1: 20}"
32461,5011,b'Mitsuami no Kamisama',6.76,"['Drama', 'Slice of Life', 'Seinen']",1,"4,680","{10: 61, 9: 144, 8: 317, 7: 569, 6: 396, 5: 162, 4: 59, 3: 22, 2: 9, 1: 18}"
3752,5012,b'Nagagutsu wo Haita Neko: 80 Nichikan Sekai Isshuu',6.76,"['Adventure', 'Kids']",1,"1,926","{10: 76, 9: 89, 8: 167, 7: 289, 6: 195, 5: 104, 4: 44, 3: 18, 2: 10, 1: 12}"
594,5013,b'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!',6.76,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",1,"87,974","{10: 4127, 9: 3489, 8: 7136, 7: 13700, 6: 11133, 5: 6150, 4: 2049, 3: 762, 2: 384, 1: 318}"
15431,5014,b'Natsu-iro Kiseki: 15-kaime no Natsuyasumi',6.76,['Slice of Life'],1,"7,434","{10: 175, 9: 267, 8: 666, 7: 1352, 6: 951, 5: 459, 4: 103, 3: 37, 2: 18, 1: 31}"
24991,5015,b'No Game No Life Specials',6.76,"['Comedy', 'Fantasy', 'Ecchi', 'Isekai']",6,"178,309","{10: 9051, 9: 7836, 8: 13479, 7: 21454, 6: 17653, 5: 9262, 4: 4248, 3: 2367, 2: 1738, 1: 1481}"
34283,5016,b'Nobunaga no Shinobi: Nobunaga to Minarai Shinobi',6.76,"['Comedy', 'Historical']",1,"5,258","{10: 125, 9: 168, 8: 425, 7: 893, 6: 697, 5: 279, 4: 63, 3: 26, 2: 5, 1: 22}"
16678,5017,b'Pokemon: Pikachu to Eievui Friends',6.76,"['Adventure', 'Comedy', 'Fantasy', 'Kids']",1,"9,530","{10: 413, 9: 332, 8: 580, 7: 1097, 6: 938, 5: 579, 4: 163, 3: 63, 2: 44, 1: 40}"
11911,5018,b'Pretty Rhythm: Aurora Dream - Prism Shougekijou',6.76,"['Comedy', 'Idols (Female)', 'Shoujo']",51,"3,021","{10: 113, 9: 83, 8: 161, 7: 248, 6: 195, 5: 127, 4: 47, 3: 14, 2: 6, 1: 20}"
36318,5019,b'Quanzhi Fashi II',6.76,"['Action', 'Fantasy', 'School']",12,"69,624","{10: 2372, 9: 2568, 8: 5506, 7: 10447, 6: 7627, 5: 3603, 4: 1734, 3: 685, 2: 353, 1: 243}"
10824,5020,b'Ranma \xc2\xbd: DoCo Music Video',6.76,"['Comedy', 'Slice of Life', 'Martial Arts', 'Music']",1,"3,855","{10: 155, 9: 94, 8: 182, 7: 289, 6: 251, 5: 160, 4: 41, 3: 16, 2: 24, 1: 18}"
43694,5021,b'Rilakkuma to Yuuenchi',6.76,"['Iyashikei', 'Kids']",8,"2,783","{10: 64, 9: 55, 8: 141, 7: 302, 6: 190, 5: 90, 4: 43, 3: 12, 2: 6, 1: 3}"
13727,5022,b'Rinne no Lagrange: Kamogawa Days',6.76,"['Comedy', 'Sci-Fi', 'Slice of Life', 'School']",1,"9,213","{10: 166, 9: 237, 8: 585, 7: 1119, 6: 781, 5: 357, 4: 106, 3: 51, 2: 20, 1: 29}"
12223,5023,b's.CRY.ed Alteration II: Quan',6.76,"['Action', 'Adventure', 'Sci-Fi', 'Super Power']",1,"4,072","{10: 72, 9: 81, 8: 200, 7: 303, 6: 193, 5: 88, 4: 46, 3: 19, 2: 10, 1: 14}"
1260,5024,b'Saint Seiya: Saishuu Seisen no Senshi-tachi',6.76,"['Adventure', 'Sci-Fi', 'Shounen']",1,"15,929","{10: 798, 9: 723, 8: 1420, 7: 2398, 6: 1734, 5: 983, 4: 464, 3: 196, 2: 110, 1: 71}"
30365,5025,b'Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou',6.76,"['Action', 'Fantasy', 'Romance', 'Ecchi', 'Harem', 'Mythology']",1,"79,954","{10: 3604, 9: 2715, 8: 5427, 7: 10686, 6: 8152, 5: 4135, 4: 1647, 3: 827, 2: 490, 1: 466}"
39480,5026,b'Shinmai Maou no Testament Departures: Maria no Hizou Eizou',6.76,"['Ecchi', 'Harem', 'Mythology', 'Parody']",1,"16,738","{10: 654, 9: 365, 8: 699, 7: 1285, 6: 1165, 5: 633, 4: 212, 3: 124, 2: 64, 1: 89}"
23209,5027,b'Sora no Method',6.76,"['Drama', 'Fantasy', 'Slice of Life', 'School']",13,"105,977","{10: 2341, 9: 2708, 8: 5705, 7: 9162, 6: 6813, 5: 4069, 4: 1866, 3: 858, 2: 354, 1: 257}"
9906,5028,b'Sue Cat',6.76,"['Adventure', 'Music', 'Shoujo']",40,721,"{10: 38, 9: 37, 8: 36, 7: 17, 6: 14, 5: 19, 4: 18, 3: 6, 2: 6, 1: 13}"
10431,5029,"b'Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru ""LIPS Eizou""'",6.76,"['Comedy', 'Parody']",1,"27,549","{10: 994, 9: 1069, 8: 2009, 7: 3295, 6: 2748, 5: 1564, 4: 466, 3: 251, 2: 143, 1: 126}"
288,5030,b'Bakuten Shoot Beyblade',6.76,"['Action', 'Adventure', 'Comedy', 'Sports', 'Kids']",51,"108,811","{10: 4567, 9: 5211, 8: 11162, 7: 19478, 6: 14882, 5: 8803, 4: 3068, 3: 1326, 2: 601, 1: 386}"
32664,5031,b'Bananya',6.76,"['Comedy', 'Slice of Life', 'Kids']",13,"68,419","{10: 5921, 9: 1805, 8: 3640, 7: 7554, 6: 7782, 5: 5573, 4: 1665, 3: 955, 2: 599, 1: 568}"
53731,5032,"b'Big Mac to, Susume'",6.76,['Gourmet'],1,"1,568","{10: 162, 9: 33, 8: 68, 7: 169, 6: 224, 5: 141, 4: 32, 3: 10, 2: 6, 1: 10}"
3620,5033,b'Blue Seed Omake',6.76,"['Comedy', 'Parody']",14,"3,090","{10: 85, 9: 123, 8: 217, 7: 345, 6: 234, 5: 143, 4: 57, 3: 12, 2: 14, 1: 22}"
38390,5034,b'Chuubyou Gekihatsu Boy',6.76,"['Comedy', 'School']",11,"45,569","{10: 880, 9: 1089, 8: 2585, 7: 4580, 6: 3527, 5: 1956, 4: 864, 3: 424, 2: 186, 1: 135}"
2172,5035,b'Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!',6.76,"['Comedy', 'Ecchi', 'School', 'Seinen']",1,"3,354","{10: 138, 9: 119, 8: 201, 7: 441, 6: 303, 5: 165, 4: 70, 3: 21, 2: 10, 1: 20}"
43814,5036,b'Deatte 5-byou de Battle',6.76,"['Supernatural', 'Gore', 'High Stakes Game', 'Strategy Game', 'Super Power']",12,"179,601","{10: 4161, 9: 5894, 8: 15050, 7: 27013, 6: 18255, 5: 9168, 4: 3791, 3: 1693, 2: 816, 1: 549}"
11355,5002,"b'Kono Danshi, Uchuujin to Tatakaemasu.'",6.76,"['Action', 'Boys Love', 'Fantasy', 'Supernatural', 'Super Power']",1,"26,347","{10: 888, 9: 1076, 8: 1985, 7: 3075, 6: 2338, 5: 1487, 4: 535, 3: 280, 2: 153, 1: 128}"
6293,5003,b'Koukou Butouden Crows',6.76,"['Action', 'Delinquents', 'School', 'Shounen']",2,"4,645","{10: 148, 9: 139, 8: 363, 7: 537, 6: 334, 5: 239, 4: 87, 3: 32, 2: 16, 1: 17}"
1032,5004,b'Kumo no You ni Kaze no You ni',6.76,"['Adventure', 'Drama', 'Romance', 'Historical']",1,"7,761","{10: 144, 9: 250, 8: 584, 7: 1007, 6: 734, 5: 331, 4: 138, 3: 38, 2: 20, 1: 21}"
4073,5005,b'Kyouryuu Daisensou Izenborg',6.76,"['Action', 'Mecha']",39,"1,269","{10: 62, 9: 57, 8: 58, 7: 74, 6: 69, 5: 54, 4: 29, 3: 14, 2: 10, 1: 17}"
149,5006,b'Loveless',6.76,"['Action', 'Boys Love', 'Drama', 'Mystery', 'Supernatural', 'Josei']",12,"137,512","{10: 6124, 9: 7301, 8: 11194, 7: 15337, 6: 11983, 5: 7894, 4: 4446, 3: 2086, 2: 1390, 1: 1388}"
1431,5007,"b""Lupin III: Ai no Da Capo - Fujiko's Unlucky Days""",6.76,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Adult Cast', 'Seinen']",1,"7,084","{10: 165, 9: 185, 8: 504, 7: 879, 6: 570, 5: 300, 4: 113, 3: 48, 2: 19, 1: 18}"
15783,5008,b'Lupin III: Touhou Kenbunroku - Another Page',6.76,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Adult Cast', 'Seinen']",1,"4,984","{10: 97, 9: 95, 8: 343, 7: 595, 6: 364, 5: 187, 4: 56, 3: 24, 2: 11, 1: 18}"
1018,5009,b'Majutsushi Orphen: Revenge',6.76,"['Adventure', 'Comedy', 'Fantasy']",23,"17,862","{10: 366, 9: 544, 8: 1279, 7: 2092, 6: 1395, 5: 737, 4: 349, 3: 150, 2: 76, 1: 52}"
43755,5010,b'Misaki no Mayoiga',6.76,"['Award Winning', 'Drama']",1,"11,745","{10: 75, 9: 82, 8: 263, 7: 469, 6: 333, 5: 138, 4: 39, 3: 11, 2: 3, 1: 20}"
32461,5011,b'Mitsuami no Kamisama',6.76,"['Drama', 'Slice of Life', 'Seinen']",1,"4,680","{10: 61, 9: 144, 8: 317, 7: 569, 6: 396, 5: 162, 4: 59, 3: 22, 2: 9, 1: 18}"
3752,5012,b'Nagagutsu wo Haita Neko: 80 Nichikan Sekai Isshuu',6.76,"['Adventure', 'Kids']",1,"1,926","{10: 76, 9: 89, 8: 167, 7: 289, 6: 195, 5: 104, 4: 44, 3: 18, 2: 10, 1: 12}"
594,5013,b'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!',6.76,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",1,"87,974","{10: 4127, 9: 3489, 8: 7136, 7: 13700, 6: 11133, 5: 6150, 4: 2049, 3: 762, 2: 384, 1: 318}"
15431,5014,b'Natsu-iro Kiseki: 15-kaime no Natsuyasumi',6.76,['Slice of Life'],1,"7,434","{10: 175, 9: 267, 8: 666, 7: 1352, 6: 951, 5: 459, 4: 103, 3: 37, 2: 18, 1: 31}"
24991,5015,b'No Game No Life Specials',6.76,"['Comedy', 'Fantasy', 'Ecchi', 'Isekai']",6,"178,309","{10: 9051, 9: 7836, 8: 13479, 7: 21454, 6: 17653, 5: 9262, 4: 4248, 3: 2367, 2: 1738, 1: 1481}"
34283,5016,b'Nobunaga no Shinobi: Nobunaga to Minarai Shinobi',6.76,"['Comedy', 'Historical']",1,"5,258","{10: 125, 9: 168, 8: 425, 7: 893, 6: 697, 5: 279, 4: 63, 3: 26, 2: 5, 1: 22}"
16678,5017,b'Pokemon: Pikachu to Eievui Friends',6.76,"['Adventure', 'Comedy', 'Fantasy', 'Kids']",1,"9,530","{10: 413, 9: 332, 8: 580, 7: 1097, 6: 938, 5: 579, 4: 163, 3: 63, 2: 44, 1: 40}"
11911,5018,b'Pretty Rhythm: Aurora Dream - Prism Shougekijou',6.76,"['Comedy', 'Idols (Female)', 'Shoujo']",51,"3,021","{10: 113, 9: 83, 8: 161, 7: 248, 6: 195, 5: 127, 4: 47, 3: 14, 2: 6, 1: 20}"
36318,5019,b'Quanzhi Fashi II',6.76,"['Action', 'Fantasy', 'School']",12,"69,624","{10: 2372, 9: 2568, 8: 5506, 7: 10447, 6: 7627, 5: 3603, 4: 1734, 3: 685, 2: 353, 1: 243}"
10824,5020,b'Ranma \xc2\xbd: DoCo Music Video',6.76,"['Comedy', 'Slice of Life', 'Martial Arts', 'Music']",1,"3,855","{10: 155, 9: 94, 8: 182, 7: 289, 6: 251, 5: 160, 4: 41, 3: 16, 2: 24, 1: 18}"
43694,5021,b'Rilakkuma to Yuuenchi',6.76,"['Iyashikei', 'Kids']",8,"2,783","{10: 64, 9: 55, 8: 141, 7: 302, 6: 190, 5: 90, 4: 43, 3: 12, 2: 6, 1: 3}"
13727,5022,b'Rinne no Lagrange: Kamogawa Days',6.76,"['Comedy', 'Sci-Fi', 'Slice of Life', 'School']",1,"9,213","{10: 166, 9: 237, 8: 585, 7: 1119, 6: 781, 5: 357, 4: 106, 3: 51, 2: 20, 1: 29}"
12223,5023,b's.CRY.ed Alteration II: Quan',6.76,"['Action', 'Adventure', 'Sci-Fi', 'Super Power']",1,"4,072","{10: 72, 9: 81, 8: 200, 7: 303, 6: 193, 5: 88, 4: 46, 3: 19, 2: 10, 1: 14}"
1260,5024,b'Saint Seiya: Saishuu Seisen no Senshi-tachi',6.76,"['Adventure', 'Sci-Fi', 'Shounen']",1,"15,929","{10: 798, 9: 723, 8: 1420, 7: 2398, 6: 1734, 5: 983, 4: 464, 3: 196, 2: 110, 1: 71}"
30365,5025,b'Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou',6.76,"['Action', 'Fantasy', 'Romance', 'Ecchi', 'Harem', 'Mythology']",1,"79,954","{10: 3604, 9: 2715, 8: 5427, 7: 10686, 6: 8152, 5: 4135, 4: 1647, 3: 827, 2: 490, 1: 466}"
39480,5026,b'Shinmai Maou no Testament Departures: Maria no Hizou Eizou',6.76,"['Ecchi', 'Harem', 'Mythology', 'Parody']",1,"16,738","{10: 654, 9: 365, 8: 699, 7: 1285, 6: 1165, 5: 633, 4: 212, 3: 124, 2: 64, 1: 89}"
23209,5027,b'Sora no Method',6.76,"['Drama', 'Fantasy', 'Slice of Life', 'School']",13,"105,977","{10: 2341, 9: 2708, 8: 5705, 7: 9162, 6: 6813, 5: 4069, 4: 1866, 3: 858, 2: 354, 1: 257}"
9906,5028,b'Sue Cat',6.76,"['Adventure', 'Music', 'Shoujo']",40,721,"{10: 38, 9: 37, 8: 36, 7: 17, 6: 14, 5: 19, 4: 18, 3: 6, 2: 6, 1: 13}"
10431,5029,"b'Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru ""LIPS Eizou""'",6.76,"['Comedy', 'Parody']",1,"27,549","{10: 994, 9: 1069, 8: 2009, 7: 3295, 6: 2748, 5: 1564, 4: 466, 3: 251, 2: 143, 1: 126}"
288,5030,b'Bakuten Shoot Beyblade',6.76,"['Action', 'Adventure', 'Comedy', 'Sports', 'Kids']",51,"108,811","{10: 4567, 9: 5211, 8: 11162, 7: 19478, 6: 14882, 5: 8803, 4: 3068, 3: 1326, 2: 601, 1: 386}"
32664,5031,b'Bananya',6.76,"['Comedy', 'Slice of Life', 'Kids']",13,"68,419","{10: 5921, 9: 1805, 8: 3640, 7: 7554, 6: 7782, 5: 5573, 4: 1665, 3: 955, 2: 599, 1: 568}"
53731,5032,"b'Big Mac to, Susume'",6.76,['Gourmet'],1,"1,568","{10: 162, 9: 33, 8: 68, 7: 169, 6: 224, 5: 141, 4: 32, 3: 10, 2: 6, 1: 10}"
3620,5033,b'Blue Seed Omake',6.76,"['Comedy', 'Parody']",14,"3,090","{10: 85, 9: 123, 8: 217, 7: 345, 6: 234, 5: 143, 4: 57, 3: 12, 2: 14, 1: 22}"
38390,5034,b'Chuubyou Gekihatsu Boy',6.76,"['Comedy', 'School']",11,"45,569","{10: 880, 9: 1089, 8: 2585, 7: 4580, 6: 3527, 5: 1956, 4: 864, 3: 424, 2: 186, 1: 135}"
2172,5035,b'Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!',6.76,"['Comedy', 'Ecchi', 'School', 'Seinen']",1,"3,354","{10: 138, 9: 119, 8: 201, 7: 441, 6: 303, 5: 165, 4: 70, 3: 21, 2: 10, 1: 20}"
43814,5036,b'Deatte 5-byou de Battle',6.76,"['Supernatural', 'Gore', 'High Stakes Game', 'Strategy Game', 'Super Power']",12,"179,601","{10: 4161, 9: 5894, 8: 15050, 7: 27013, 6: 18255, 5: 9168, 4: 3791, 3: 1693, 2: 816, 1: 549}"
11355,5002,"b'Kono Danshi, Uchuujin to Tatakaemasu.'",6.76,"['Action', 'Boys Love', 'Fantasy', 'Supernatural', 'Super Power']",1,"26,347","{10: 888, 9: 1076, 8: 1985, 7: 3075, 6: 2338, 5: 1487, 4: 535, 3: 280, 2: 153, 1: 128}"
6293,5003,b'Koukou Butouden Crows',6.76,"['Action', 'Delinquents', 'School', 'Shounen']",2,"4,645","{10: 148, 9: 139, 8: 363, 7: 537, 6: 334, 5: 239, 4: 87, 3: 32, 2: 16, 1: 17}"
1032,5004,b'Kumo no You ni Kaze no You ni',6.76,"['Adventure', 'Drama', 'Romance', 'Historical']",1,"7,761","{10: 144, 9: 250, 8: 584, 7: 1007, 6: 734, 5: 331, 4: 138, 3: 38, 2: 20, 1: 21}"
4073,5005,b'Kyouryuu Daisensou Izenborg',6.76,"['Action', 'Mecha']",39,"1,269","{10: 62, 9: 57, 8: 58, 7: 74, 6: 69, 5: 54, 4: 29, 3: 14, 2: 10, 1: 17}"
149,5006,b'Loveless',6.76,"['Action', 'Boys Love', 'Drama', 'Mystery', 'Supernatural', 'Josei']",12,"137,512","{10: 6124, 9: 7301, 8: 11194, 7: 15337, 6: 11983, 5: 7894, 4: 4446, 3: 2086, 2: 1390, 1: 1388}"
1431,5007,"b""Lupin III: Ai no Da Capo - Fujiko's Unlucky Days""",6.76,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Adult Cast', 'Seinen']",1,"7,084","{10: 165, 9: 185, 8: 504, 7: 879, 6: 570, 5: 300, 4: 113, 3: 48, 2: 19, 1: 18}"
15783,5008,b'Lupin III: Touhou Kenbunroku - Another Page',6.76,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Adult Cast', 'Seinen']",1,"4,984","{10: 97, 9: 95, 8: 343, 7: 595, 6: 364, 5: 187, 4: 56, 3: 24, 2: 11, 1: 18}"
1018,5009,b'Majutsushi Orphen: Revenge',6.76,"['Adventure', 'Comedy', 'Fantasy']",23,"17,862","{10: 366, 9: 544, 8: 1279, 7: 2092, 6: 1395, 5: 737, 4: 349, 3: 150, 2: 76, 1: 52}"
43755,5010,b'Misaki no Mayoiga',6.76,"['Award Winning', 'Drama']",1,"11,745","{10: 75, 9: 82, 8: 263, 7: 469, 6: 333, 5: 138, 4: 39, 3: 11, 2: 3, 1: 20}"
32461,5011,b'Mitsuami no Kamisama',6.76,"['Drama', 'Slice of Life', 'Seinen']",1,"4,680","{10: 61, 9: 144, 8: 317, 7: 569, 6: 396, 5: 162, 4: 59, 3: 22, 2: 9, 1: 18}"
3752,5012,b'Nagagutsu wo Haita Neko: 80 Nichikan Sekai Isshuu',6.76,"['Adventure', 'Kids']",1,"1,926","{10: 76, 9: 89, 8: 167, 7: 289, 6: 195, 5: 104, 4: 44, 3: 18, 2: 10, 1: 12}"
594,5013,b'Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!',6.76,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",1,"87,974","{10: 4127, 9: 3489, 8: 7136, 7: 13700, 6: 11133, 5: 6150, 4: 2049, 3: 762, 2: 384, 1: 318}"
15431,5014,b'Natsu-iro Kiseki: 15-kaime no Natsuyasumi',6.76,['Slice of Life'],1,"7,434","{10: 175, 9: 267, 8: 666, 7: 1352, 6: 951, 5: 459, 4: 103, 3: 37, 2: 18, 1: 31}"
24991,5015,b'No Game No Life Specials',6.76,"['Comedy', 'Fantasy', 'Ecchi', 'Isekai']",6,"178,309","{10: 9051, 9: 7836, 8: 13479, 7: 21454, 6: 17653, 5: 9262, 4: 4248, 3: 2367, 2: 1738, 1: 1481}"
34283,5016,b'Nobunaga no Shinobi: Nobunaga to Minarai Shinobi',6.76,"['Comedy', 'Historical']",1,"5,258","{10: 125, 9: 168, 8: 425, 7: 893, 6: 697, 5: 279, 4: 63, 3: 26, 2: 5, 1: 22}"
16678,5017,b'Pokemon: Pikachu to Eievui Friends',6.76,"['Adventure', 'Comedy', 'Fantasy', 'Kids']",1,"9,530","{10: 413, 9: 332, 8: 580, 7: 1097, 6: 938, 5: 579, 4: 163, 3: 63, 2: 44, 1: 40}"
11911,5018,b'Pretty Rhythm: Aurora Dream - Prism Shougekijou',6.76,"['Comedy', 'Idols (Female)', 'Shoujo']",51,"3,021","{10: 113, 9: 83, 8: 161, 7: 248, 6: 195, 5: 127, 4: 47, 3: 14, 2: 6, 1: 20}"
36318,5019,b'Quanzhi Fashi II',6.76,"['Action', 'Fantasy', 'School']",12,"69,624","{10: 2372, 9: 2568, 8: 5506, 7: 10447, 6: 7627, 5: 3603, 4: 1734, 3: 685, 2: 353, 1: 243}"
10824,5020,b'Ranma \xc2\xbd: DoCo Music Video',6.76,"['Comedy', 'Slice of Life', 'Martial Arts', 'Music']",1,"3,855","{10: 155, 9: 94, 8: 182, 7: 289, 6: 251, 5: 160, 4: 41, 3: 16, 2: 24, 1: 18}"
43694,5021,b'Rilakkuma to Yuuenchi',6.76,"['Iyashikei', 'Kids']",8,"2,783","{10: 64, 9: 55, 8: 141, 7: 302, 6: 190, 5: 90, 4: 43, 3: 12, 2: 6, 1: 3}"
13727,5022,b'Rinne no Lagrange: Kamogawa Days',6.76,"['Comedy', 'Sci-Fi', 'Slice of Life', 'School']",1,"9,213","{10: 166, 9: 237, 8: 585, 7: 1119, 6: 781, 5: 357, 4: 106, 3: 51, 2: 20, 1: 29}"
12223,5023,b's.CRY.ed Alteration II: Quan',6.76,"['Action', 'Adventure', 'Sci-Fi', 'Super Power']",1,"4,072","{10: 72, 9: 81, 8: 200, 7: 303, 6: 193, 5: 88, 4: 46, 3: 19, 2: 10, 1: 14}"
1260,5024,b'Saint Seiya: Saishuu Seisen no Senshi-tachi',6.76,"['Adventure', 'Sci-Fi', 'Shounen']",1,"15,929","{10: 798, 9: 723, 8: 1420, 7: 2398, 6: 1734, 5: 983, 4: 464, 3: 196, 2: 110, 1: 71}"
30365,5025,b'Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou',6.76,"['Action', 'Fantasy', 'Romance', 'Ecchi', 'Harem', 'Mythology']",1,"79,954","{10: 3604, 9: 2715, 8: 5427, 7: 10686, 6: 8152, 5: 4135, 4: 1647, 3: 827, 2: 490, 1: 466}"
39480,5026,b'Shinmai Maou no Testament Departures: Maria no Hizou Eizou',6.76,"['Ecchi', 'Harem', 'Mythology', 'Parody']",1,"16,738","{10: 654, 9: 365, 8: 699, 7: 1285, 6: 1165, 5: 633, 4: 212, 3: 124, 2: 64, 1: 89}"
23209,5027,b'Sora no Method',6.76,"['Drama', 'Fantasy', 'Slice of Life', 'School']",13,"105,977","{10: 2341, 9: 2708, 8: 5705, 7: 9162, 6: 6813, 5: 4069, 4: 1866, 3: 858, 2: 354, 1: 257}"
9906,5028,b'Sue Cat',6.76,"['Adventure', 'Music', 'Shoujo']",40,721,"{10: 38, 9: 37, 8: 36, 7: 17, 6: 14, 5: 19, 4: 18, 3: 6, 2: 6, 1: 13}"
